raceId,driverId,constructorId,grid,positionOrder,unified_main_points,res_fLapTime_ms,year,round,circuitId,dob,q_rel_gap,qual_pos,sprint_target,spr_ms,spr_fLapTime_ms,spr_points_unified,pit_count,pit_total_ms,driver_encoded
1107,842,0.9953271028037383,0.45,10,1,69046.0,2023,9,0.8714285714285714,0.33333333333333337,0.13631410481313128,0.42105263157894735,15.0,1884382.0,76109.0,0.0,0.6000000000000001,65998.0,292
1110,842,0.9953271028037383,0.6000000000000001,11,0,110911.0,2023,12,0.05714285714285716,0.33333333333333337,0.22772725602157037,0.5789473684210527,3.0,1509166.0,121857.0,6.0,0.2,25664.0,292
1115,842,0.9953271028037383,0.35000000000000003,12,0,86310.0,2023,17,0.9857142857142858,0.33333333333333337,0.14628935763000936,0.3157894736842105,9.0,2123039.0,88769.0,0.0,0.6000000000000001,93477.0,292
1116,842,0.9953271028037383,0.35000000000000003,6,8,100412.0,2023,18,0.8571428571428571,0.33333333333333337,0.24962071310443326,0.3157894736842105,7.0,1923252.0,100155.0,2.0,0.4,48780.0,292
1118,842,0.9953271028037383,0.75,7,6,74521.0,2023,20,0.12857142857142856,0.33333333333333337,0.14326874371749573,0.631578947368421,13.0,1847830.0,75209.0,0.0,0.8,1486107.0,292
1125,842,0.9953271028037383,0.75,13,0,99198.0,2024,5,0.1142857142857143,0.3749999999999999,0.12797041210590868,0.736842105263158,15.0,1965498.0,102017.0,0.0,0.6000000000000001,86535.0,292
1126,842,0.9953271028037383,0.6000000000000001,12,0,92055.0,2024,6,1.0,0.3749999999999999,0.07281022849481934,0.5789473684210527,9.0,1923263.0,92148.0,0.0,0.2,22466.0,292
1131,842,0.9953271028037383,0.65,10,1,69609.0,2024,11,0.8714285714285714,0.3749999999999999,0.11419139756056139,0.631578947368421,12.0,1632697.0,70168.0,0.0,0.4,43474.0,292
1139,842,0.9953271028037383,0.30000000000000004,12,0,98311.0,2024,19,0.8571428571428571,0.3749999999999999,0.12050038745763814,0.3157894736842105,14.0,1908141.0,99438.0,0.0,0.2,28228.0,292
1141,842,0.9953271028037383,0.65,3,15,81645.0,2024,21,0.12857142857142856,0.3749999999999999,0.2256735880055261,0.736842105263158,7.0,1804206.0,72400.0,2.0,0.2,1407586.0,292
1143,842,0.9953271028037383,0.55,5,10,83705.0,2024,23,0.9857142857142858,0.3749999999999999,0.16484540482757273,0.5263157894736843,9.0,1637523.0,84930.0,0.0,0.6000000000000001,81997.0,292
1061,844,0.023364485981308407,0.2,2,18,90569.0,2021,10,0.0,0.20833333333333337,0.07693117748734198,0.15789473684210525,4.0,1549704.0,90163.0,5.0,0.4,2076164.0,463
1065,844,0.023364485981308407,0.25,4,12,85319.0,2021,14,0.07142857142857142,0.20833333333333337,0.18671297927261118,0.3684210526315789,6.0,1697520.0,84677.0,3.0,0.2,24557.0,463
1071,844,0.023364485981308407,0.30000000000000004,5,10,72822.0,2021,19,0.12857142857142856,0.20833333333333337,0.13658492407830583,0.3157894736842105,7.0,1774615.0,73140.0,2.0,0.8,81445.0,463
